DISTRICT,LATITUDE,LONGITUDE,VENUE,VENUE LATITUDE,VENUE LONGITUDE,VENUE CATEGORY
CENTRO,40.4115165,-3.7076445,Cuatro Gatos Music Café,40.414066,-3.706333,Bistro
CENTRO,40.4115165,-3.7076445,La Bobia,40.41138987927906,-3.7076682972878503,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Bar La Ideal,40.414937728824995,-3.706780980104783,Sandwich Place
CENTRO,40.4115165,-3.7076445,Cerveceria Arganzuela,40.40883837425517,-3.7102351011452934,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Bombay Blue,40.41242369336773,-3.70406137856177,Indian Restaurant
CENTRO,40.4115165,-3.7076445,La Copita Asturiana,40.410846896161296,-3.7113859235242783,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Toma Que Toma,40.408403357193826,-3.7074062211198693,Tapas Restaurant
CENTRO,40.4115165,-3.7076445,La Parrala,40.4104564935909,-3.7103225222357814,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Leon V,40.41487569445743,-3.706158374990847,Restaurant
CENTRO,40.4115165,-3.7076445,Bar Santurce,40.40958206879315,-3.7077291167424837,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Yatiri,40.41268990000449,-3.7033725873476895,Vegetarian / Vegan Restaurant
CENTRO,40.4115165,-3.7076445,Café El Mar - Tiendita enbioverde,40.40868720302619,-3.705082662389046,Vegetarian / Vegan Restaurant
CENTRO,40.4115165,-3.7076445,Viejo Madrid,40.412191183,-3.709696706,Spanish Restaurant
CENTRO,40.4115165,-3.7076445,Taberna Angosta,40.412032539078474,-3.7122952048668605,Spanish Restaurant
CHAMARTIN,40.462059,-3.6766,Restaurante Casa Pello,40.45875016774456,-3.677944784338546,Restaurant
CHAMARTIN,40.462059,-3.6766,PAIPÁI,40.460091,-3.675982,Restaurant
CHAMARTIN,40.462059,-3.6766,Cuarto y Mitad,40.459151041590026,-3.6778855511483006,Steakhouse
CHAMARTIN,40.462059,-3.6766,McDonald's,40.46276175012354,-3.675181422412556,Fast Food Restaurant
CHAMARTIN,40.462059,-3.6766,La alpujarra,40.46028663761907,-3.6765277493079873,Diner
CHAMARTIN,40.462059,-3.6766,Hotel Don Pío,40.4628481,-3.6763122,Spanish Restaurant
CHAMARTIN,40.462059,-3.6766,Itohi,40.45955754162663,-3.6767358650266933,Sushi Restaurant
CHAMARTIN,40.462059,-3.6766,Restaurante Estébanez,40.46248273055637,-3.672294069046724,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Burger Joint,40.43395501715272,-3.7026537277439178,Burger Joint
CHAMBERI,40.434040100000004,-3.7037899,Rochela Restaurante,40.43357467651367,-3.7025253772735596,American Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Villa de Foz,40.432333451968645,-3.7027589508273544,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Jleo's,40.433684262126114,-3.7037809195847498,Burrito Place
CHAMBERI,40.434040100000004,-3.7037899,Saint Georges,40.434168059314416,-3.702679574489593,Café
CHAMBERI,40.434040100000004,-3.7037899,Las Hoces del Duratón,40.432518267155,-3.704748829219256,Café
CHAMBERI,40.434040100000004,-3.7037899,Mawei,40.431751,-3.702413,Mexican Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Mallorca,40.43445016308333,-3.7043098108900794,Bakery
CHAMBERI,40.434040100000004,-3.7037899,Mandioca,40.431805,-3.704789,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Nap Neapolitan Authentic Pizza,40.431973548917014,-3.7021270584263055,Pizza Place
CHAMBERI,40.434040100000004,-3.7037899,Hanakura,40.43320835211966,-3.7007514432898816,Japanese Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Bache Restaurante,40.43142837141736,-3.705362939487547,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Gingerboy Take Away,40.43318435759304,-3.7007361178296048,Asian Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Kitchen 154,40.43404639953008,-3.708184798637003,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Ruta 20,40.43556100200729,-3.702256772949849,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Asador El Pedrusco de Aldearcorvo,40.43395918570402,-3.7001826713209103,BBQ Joint
CHAMBERI,40.434040100000004,-3.7037899,Restaurante Nino Ferreira,40.43453640339943,-3.700649504113835,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Taberna La Mina,40.43472146647036,-3.7019123891304377,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Pasta Fresca,40.433855698705045,-3.7041494250297546,Italian Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Granier,40.43290445433831,-3.7040394584549925,Bakery
CHAMBERI,40.434040100000004,-3.7037899,Washoku,40.43397429135628,-3.7081652879955502,Sushi Restaurant
CHAMBERI,40.434040100000004,-3.7037899,El Llar,40.43498324676975,-3.7059926586286354,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Orio Pan,40.435849115826294,-3.7043198413236746,Bakery
CHAMBERI,40.434040100000004,-3.7037899,Mandralisca,40.43188241188528,-3.702231484951544,Bistro
CHAMBERI,40.434040100000004,-3.7037899,Santa kafeina,40.43588487219563,-3.700121135074587,Café
CHAMBERI,40.434040100000004,-3.7037899,Llantén Veggiebar,40.432189,-3.702132,Vegetarian / Vegan Restaurant
CHAMBERI,40.434040100000004,-3.7037899,El loco Antonelli,40.431962,-3.701939,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,cafeteando,40.433128,-3.700817,Café
CHAMBERI,40.434040100000004,-3.7037899,Perrachica,40.43388311378871,-3.7029572592533584,Mediterranean Restaurant
CHAMBERI,40.434040100000004,-3.7037899,El Pontón,40.436999496303095,-3.7020558776675565,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Paulino de Quevedo,40.4329283820628,-3.7033349454844315,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Sagaretxe,40.434362569943275,-3.7010497748126063,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,La Tomata,40.431158357321806,-3.7019901343308472,Mexican Restaurant
CHAMBERI,40.434040100000004,-3.7037899,La Huerta del Duque,40.431215,-3.701036,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Craft 19 - Craft Beer & Pastrami,40.4341,-3.70828,Sandwich Place
CHAMBERI,40.434040100000004,-3.7037899,Con Z,40.431072,-3.7021782,Bakery
CHAMBERI,40.434040100000004,-3.7037899,Da Giuseppina,40.43191847075262,-3.700671541748883,Italian Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Mama Campo,40.43249282388868,-3.7007336486137055,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Mawey Taco Bar,40.43169363353131,-3.7023925781249996,Mexican Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Tripea,40.43410192774813,-3.7083307489803152,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Casa Mundi,40.43624553252092,-3.7067866217788286,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Gonzalín,40.43377525473303,-3.703550456653662,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,El Rey de Tallarines,40.43147990617309,-3.702037522918468,Chinese Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Old School Skaterock Shop,40.431756973074805,-3.701371533015889,Diner
CHAMBERI,40.434040100000004,-3.7037899,Oh! Mandril,40.43597224518113,-3.7025007498911453,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Cantina Mama Campo,40.432623246075245,-3.700613424352111,Gastropub
CHAMBERI,40.434040100000004,-3.7037899,Casa Adolfo,40.43621329598429,-3.704288195115987,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Café Cósmico,40.43372495512541,-3.6998710303779156,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Mesón Río Nalón,40.4360741263673,-3.7055697873249756,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Taberna Makandé,40.43714834223119,-3.7039780843811316,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Cantina Canalla,40.437056,-3.703687,Mexican Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Cervecería El Jamón,40.43428470835298,-3.7013669451148443,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Orio Pan,40.43480688025589,-3.6993214281831786,Bakery
CHAMBERI,40.434040100000004,-3.7037899,Restaurante Cafe Campiello,40.437080738500875,-3.702584170169327,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Arrocería Costa Blanca,40.43423474336497,-3.7043222508264884,Paella Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Tequilería Güey,40.434014,-3.708162,Taco Place
CHAMBERI,40.434040100000004,-3.7037899,Kloster,40.43110386831426,-3.701964227314411,German Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Entremigas,40.43453971060143,-3.700492655469042,Sandwich Place
CHAMBERI,40.434040100000004,-3.7037899,San Bernardo 115,40.43261241567796,-3.704653788474711,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,La Caña,40.43102554733948,-3.701843372196129,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Mar De Vigo,40.43590802928405,-3.7021532229788883,Seafood Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Kiyota,40.43511512707084,-3.7075816399108574,Sushi Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Thousand Cups,40.433581565634945,-3.7044563689828567,Café
CHAMBERI,40.434040100000004,-3.7037899,La Blanca Doble,40.43535056924652,-3.70041190452733,Café
CHAMBERI,40.434040100000004,-3.7037899,Cafetería Yolanda,40.43503583512488,-3.700403423595844,Café
CHAMBERI,40.434040100000004,-3.7037899,Suchil 15,40.431849,-3.707307,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Aceytuna,40.432506618241504,-3.703876452520049,Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Tapeando,40.436327079719355,-3.7042893734386206,Diner
CHAMBERI,40.434040100000004,-3.7037899,Huerto Y Brasa,40.437076220047345,-3.704187141044325,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Piscolabis,40.43718403878082,-3.704141468608198,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Tasty Poke,40.432853276753356,-3.7047840356785855,Fast Food Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Yakitori,40.43500409434475,-3.7056316532074254,Japanese Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Las Nieves,40.431365050030635,-3.703732242190603,Café
CHAMBERI,40.434040100000004,-3.7037899,100 Montaditos,40.43742161529329,-3.7041903847423767,Sandwich Place
CHAMBERI,40.434040100000004,-3.7037899,Cerveceria Siboni,40.435063,-3.708301,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,TGB - The Good Burger,40.43167330552131,-3.7051620098211,Burger Joint
CHAMBERI,40.434040100000004,-3.7037899,Andry,40.4345041510562,-3.7043666297044657,Café
CHAMBERI,40.434040100000004,-3.7037899,Tierra,40.43398981843915,-3.704318189620396,Mexican Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Restaurante La Playa,40.434116700382894,-3.705677607435815,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,La Familia,40.434981,-3.706238,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Ambrosía healthy FOOD,40.43611976987079,-3.7025642395019536,Fast Food Restaurant
CHAMBERI,40.434040100000004,-3.7037899,La Taberna de Doña Mencía,40.436429,-3.704326,Tapas Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Cafetería Hermar,40.43565204383779,-3.707535922998004,Café
CHAMBERI,40.434040100000004,-3.7037899,Bar Gar-Mar,40.434995774419534,-3.7080513079277573,Spanish Restaurant
CHAMBERI,40.434040100000004,-3.7037899,Bakio artesanos cocineros,40.43070892500862,-3.7054199263958982,Tapas Restaurant
